"COD";"id_seccion";"P20";"P21";"P22";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"Ubigeo";"FACTOR"
"4";1;1;"A                                                 ";1;4;2;6;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"5";1;1;"A                                                 ";1;5;1;6;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"7";1;1;"A                                                 ";1;7;1;6;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"8";1;1;"A                                                 ";1;8;2;6;1;0;1;0;"CALLAO                                            ";"070101";12,666666666667
"9";1;1;"A                                                 ";1;9;1;6;1;1;1;1;"CALLAO                                            ";"070101";12,666666666667
"10";1;1;"A                                                 ";1;10;1;6;1;1;1;3;"CALLAO                                            ";"070101";12,666666666667
"11";1;1;"A                                                 ";1;11;2;6;1;0;1;2;"CALLAO                                            ";"070101";12,666666666667
"13";1;1;"A                                                 ";1;13;2;6;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"15";1;1;"A                                                 ";1;15;1;6;1;0;1;7;"CALLAO                                            ";"070101";12,666666666667
"17";1;1;"A                                                 ";1;17;1;6;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"18";1;1;"A                                                 ";1;18;2;6;1;NA;2;NA;"                                                  ";"      ";12,666666666667
"19";1;1;"A                                                 ";1;19;1;6;1;1;1;3;"CALLAO                                            ";"070101";12,666666666667
"20";1;1;"A                                                 ";1;20;1;6;1;1;1;2;"CALLAO                                            ";"070101";12,666666666667
"21";1;1;"A                                                 ";1;21;2;6;1;0;1;0;"CALLAO                                            ";"070101";12,666666666667
"22";1;1;"A                                                 ";1;22;1;7;1;0;1;0;"CALLAO                                            ";"070101";12,666666666667
"23";1;1;"A                                                 ";1;23;2;6;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"24";1;1;"A                                                 ";1;24;1;6;1;0;1;14;"CALLAO                                            ";"070101";12,666666666667
"25";1;1;"A                                                 ";1;25;2;6;1;0;1;0;"CALLAO                                            ";"070101";12,666666666667
"26";1;1;"A                                                 ";1;26;2;6;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"28";1;1;"A                                                 ";1;28;2;6;1;1;1;10;"CALLAO                                            ";"070101";12,666666666667
"29";1;1;"A                                                 ";1;29;2;6;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"30";1;1;"A                                                 ";1;30;2;6;1;0;1;7;"CALLAO                                            ";"070101";12,666666666667
"31";1;1;"A                                                 ";1;31;2;6;1;0;1;2;"CALLAO                                            ";"070101";12,666666666667
"32";1;1;"A                                                 ";1;32;1;6;1;0;1;2;"CALLAO                                            ";"070101";12,666666666667
"33";1;1;"A                                                 ";1;33;1;6;1;0;1;2;"CALLAO                                            ";"070101";12,666666666667
"34";1;1;"A                                                 ";1;34;1;6;1;0;1;2;"CALLAO                                            ";"070101";12,666666666667
"35";1;1;"A                                                 ";1;35;1;7;1;1;1;0;"CALLAO                                            ";"070101";12,666666666667
"36";1;1;"A                                                 ";1;36;2;7;1;1;1;1;"CALLAO                                            ";"070101";12,666666666667
"40";2;1;"A                                                 ";1;4;1;7;1;1;1;2;"CALLAO                                            ";"070101";11,4
"43";2;1;"A                                                 ";1;7;1;6;1;1;1;1;"CALLAO                                            ";"070101";11,4
"45";2;1;"A                                                 ";1;9;2;6;1;0;1;1;"CALLAO                                            ";"070101";11,4
"46";2;1;"A                                                 ";1;10;2;6;1;1;1;2;"CALLAO                                            ";"070101";11,4
"49";2;1;"A                                                 ";1;13;2;6;1;NA;2;NA;"                                                  ";"      ";11,4
"50";2;1;"A                                                 ";1;14;2;7;1;1;1;1;"CALLAO                                            ";"070101";11,4
"51";2;1;"A                                                 ";1;15;1;7;1;1;1;0;"CALLAO                                            ";"070101";11,4
"52";2;1;"A                                                 ";1;16;2;6;1;0;1;0;"CALLAO                                            ";"070101";11,4
"54";2;1;"A                                                 ";1;18;1;7;1;NA;2;NA;"                                                  ";"      ";11,4
"55";2;1;"A                                                 ";1;19;1;6;1;1;1;1;"CALLAO                                            ";"070101";11,4
"57";2;2;"B                                                 ";1;1;2;6;1;0;1;1;"CALLAO                                            ";"070101";11,4
"58";2;2;"B                                                 ";1;2;1;6;1;NA;2;NA;"                                                  ";"      ";11,4
"60";2;2;"B                                                 ";1;4;1;6;1;0;1;0;"CALLAO                                            ";"070101";11,4
"61";2;2;"B                                                 ";1;5;2;6;1;1;1;0;"CALLAO                                            ";"070101";11,4
"62";2;2;"B                                                 ";1;6;2;7;1;1;1;0;"CALLAO                                            ";"070101";11,4
"65";2;2;"B                                                 ";1;9;1;7;1;1;1;0;"CALLAO                                            ";"070101";11,4
"66";2;2;"B                                                 ";1;10;2;7;1;1;1;1;"CALLAO                                            ";"070101";11,4
"67";2;2;"B                                                 ";1;11;1;7;1;1;1;1;"CALLAO                                            ";"070101";11,4
"68";2;2;"B                                                 ";1;12;1;6;1;NA;2;NA;"                                                  ";"      ";11,4
"69";2;2;"B                                                 ";1;13;1;6;1;1;1;2;"CALLAO                                            ";"070101";11,4
"70";2;2;"B                                                 ";1;14;2;7;1;1;1;1;"CALLAO                                            ";"070101";11,4
